Name,Invocations,Avg. Duration(ns),Registers/Thread,Static Shared Memory,Avg. Dynamic Shared Memory,Issue Stall Reasons (Synchronization)(%),,Issue Stall Reasons (Immediate constant)(%),Issue Stall Reasons (Pipe Busy)(%),Global Memory Load Efficiency(%),Shared Memory Efficiency(%),Global Memory Store Efficiency(%),Issue Stall Reasons (Memory Throttle)(%),Issue Stall Reasons (Not Selected)(%),Issue Slots,Achieved Occupancy,Warp Execution Efficiency(%),Warp Non-Predicated Execution Efficiency(%),Issue Slot Utilization(%),Issue Stall Reasons (Instructions Fetch)(%),Issue Stall Reasons (Execution Dependency)(%),Issue Stall Reasons (Data Request)(%),Issue Stall Reasons (Texture)(%),Issue Stall Reasons (Other)(%)
,,,,,,,,,,,,,,,,,,,,,,,,
"executeTwentyFourLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,49153,32,0,0,0,,0.615,0.082,37.722,0,32.8,1.409,0.078,98804,0.88,76.562,76.563,11.658,0.697,31.74,9.276,6.345,49.187
"executeTwentySixLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,75842,32,0,0,0,,0.527,0.068,50.596,0,32.837,0.983,0.073,193009,0.912,76.562,76.562,12.556,0.909,39.842,6.26,2.268,47.996
"executeSecondLayer_DSC_partC(double*, double*, double*, double*, double*, double*, double*)",1,79683,32,0,0,0,,0.347,0.069,41.575,0,25,5.69,0.04,138907,0.876,100,100,8.438,2.046,19.09,18.457,12.222,43.294
"executeFourthLayer_DSC_partD(double*, double*, double*, double*, double*, double*, double*)",1,90147,32,0,0,0,,0.426,0.058,28.396,0,25,5.931,0.044,111153,0.718,100,100,5.587,0.501,17.926,19.904,17.744,36.351
"executeSecondLayer_DSC_partB(double*, double*, double*, double*, double*, double*, double*)",1,94596,32,0,0,0,,0.366,0.062,41.575,0,25,6.573,0.042,172695,0.88,100,100,9.078,0.713,15.767,27.056,12.266,38.449
"executeTwelfthLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,98339,32,0,0,0,,0.37,0.064,33.875,0,25,4.448,0.044,172708,0.847,87.5,87.5,8.297,0.568,21.293,16.859,12.846,44.232
"executeFourthLayer_DSC_partC(double*, double*, double*, double*, double*, double*, double*)",1,130661,32,0,0,0,,0.302,0.06,28.396,0,25,3.189,0.062,147979,0.663,100,100,5.56,0.538,18.29,16.465,20.907,40.029
"executeFourthLayer_DSC_partB(double*, double*, double*, double*, double*, double*, double*)",1,132517,32,0,0,0,,0.297,0.059,25,0,25,4.336,0.058,147957,0.664,100,100,4.816,0.507,17.548,17.807,18.924,37.364
"executeSixthLayer_DSC_partD(double*, double*, double*, double*, double*, double*, double*)",1,139973,32,0,0,0,,0.278,0.067,30.714,0,25,5.786,0.056,217138,0.707,100,100,7.186,0.566,24.179,17.662,13.837,36.943
"executeEighteenthLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,161254,32,0,0,0,,0.282,0.056,41.742,0,25,3.611,0.053,333987,0.816,87.5,87.5,10.338,0.567,29.22,13.427,9.35,41.817
"executeTwentyLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,161830,32,0,0,0,,0.271,0.057,41.742,0,25,3.677,0.055,333996,0.837,87.5,87.5,10.468,0.579,30.275,13.836,9.624,43.218
"executeSixteenthLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,162630,32,0,0,0,,0.244,0.055,41.742,0,25,3.527,0.054,334001,0.824,87.5,87.5,10.509,0.537,30.437,14.718,9.245,40.869
"executeFourteenthLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,163302,32,0,0,0,,0.263,0.055,41.742,0,25,3.565,0.051,333977,0.822,87.5,87.5,10.574,0.553,30.024,13.35,9.271,42.422
"executeTwentyTwoLayer_DSC(double*, double*, double*, double*, double*, double*, double*)",1,163494,32,0,0,0,,0.263,0.056,41.742,0,25,3.544,0.052,333992,0.826,87.5,87.5,10.362,0.577,30.507,13.433,8.959,42.083
"executeFourthLayer_DSC_partA(double*, double*, double*, double*, double*, double*, double*)",1,179431,32,0,0,0,,0.196,0.046,25,0,25,5.96,0.034,197287,0.841,100,100,5.074,0.916,15.48,16.267,15.823,45.977
"executeSixthLayer_DSC_partC(double*, double*, double*, double*, double*, double*, double*)",1,198727,32,0,0,0,,0.197,0.072,30.714,0,25,2.609,0.073,289277,0.655,100,100,6.662,0.731,24.024,15.305,17.507,40.113
"executeSixthLayer_DSC_partB(double*, double*, double*, double*, double*, double*, double*)",1,218088,32,0,0,0,,0.181,0.065,25,0,25,2.835,0.065,289268,0.665,100,100,6.14,0.552,22.635,16.609,18.213,38.033
